,Region,Categoria,Marca,Segmento,Quincena,MES,AÑO,VSIGV
1027,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,1,1,2020,39167.7549
1028,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,9,2018,294973.3901
1029,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2,2019,133885.6428
1030,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,1,10,2020,7282017.8841
1031,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,11,2019,4571282.9958
1032,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,7,2020,968060.5524
1033,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,2,5,2018,1957951.8147
1034,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,5,2019,16026.3388
1035,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,7,2018,66524.703
1036,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,3,2018,7992610.5016
1037,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,1,5,2018,127280.509
1038,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,11,2019,1143102.6475
1039,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,12,2018,23428.6694
1040,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,2,7,2020,8229258.2001
1041,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,2,11,2019,7849900.2793
1042,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,7,2018,5042395.7088
1043,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,11,2020,255368.1659
1044,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,10,2018,2123712.8163
1045,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,2,2018,129987.9976
1046,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,1,2020,7494883.1002
1047,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,3,2021,7973432.3301
1048,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,1,9,2018,1931757.8203
1049,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,1,4,2018,9352682.6711
1050,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,2,7,2020,7051677.6064
1051,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,11,2018,104547.0991
1052,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,12,2020,1162694.8857
1053,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,1,2018,120221.7542
1054,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,1,1,2019,217823.9274
1055,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,1,1,2019,28255.4597
1056,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,1,6,2019,7203054.2692
1057,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,4,2019,6720274.7745
1058,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,1,2021,342271.9104
1059,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,5,2020,123556.9244
1060,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,3,2020,185709.0502
1061,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,4,2020,4246575.0481
1062,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,8,2018,1169660.7339
1063,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,4,2018,190204.8813
1064,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,12,2017,20008.1
1065,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,8,2018,359601.9081
1066,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,5,2018,13691.2484
1067,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,1,4,2021,932472.6119
1068,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,11,2019,272379.739
1069,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,8,2018,6670262.5509
1070,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,1,10,2018,3644866.1829
1071,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,12,2020,4526624.1439
1072,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,11,2020,886147.0121
1073,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,1,5,2019,2544599.6154
1074,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,2,3,2021,11011422.6035
1075,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,10,2019,106120.2497
1076,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,9,2019,364967.4986
1077,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,7,2019,228541.2025
1078,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,11,2019,3114346.9717
1079,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,2,3,2020,286.136
1080,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,3,2019,8366634.5924
1081,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,12,2020,6025804.69
1082,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,1,5,2018,15505.5284
1083,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,7,2020,1315842.8919
1084,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,7,2020,146089.1241
1085,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,7,2018,510034.2103
1086,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,9,2020,18983.3459
1087,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,1,9,2019,2963897.8945
1088,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,8,2020,407430.2348
1089,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2,2020,6513134.8495
1090,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,2,2018,1942959.8119
1091,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,12,2020,56251.3351
1092,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,10,2020,301824.7261
1093,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,4,2020,141034.3293
1094,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,11,2018,585746.9122
1095,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,6,2018,174770.7367
1096,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,1,2019,355665.3638
1097,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,12,2018,36581.4358
1098,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,10,2018,385906.1191
1099,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,2,10,2019,334043.9419
1100,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,8,2019,88881.2424
1101,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,12,2018,24090.1352
1102,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,1,2021,897638.1483
1103,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,2,6,2020,727240.5112
1104,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,3,2021,900738.3306
1105,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,10,2020,114666.2207
1106,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,6,2019,125670.8821
1107,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,10,2019,560585.6605
1108,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,1,12,2018,255550.5792
1109,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,1,5,2018,6240225.9539
1110,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,11,2020,490999.5194
1111,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,1,4,2020,465873.5354
1112,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,4,2020,195913.4091
1113,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,11,2020,103890.0168
1114,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,9,2019,97692.269
1115,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2,2018,2475868.266
1116,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,5,2018,224736.9708
1117,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,8,2019,166014.7481
1118,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,8,2019,2073286.9725
1119,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,5,2020,630604.0163
1120,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,2,11,2020,158286.1481
1121,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,1,8,2019,276557.5076
1122,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,10,2018,62337.9872
1123,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,2,2,2021,552081.2854
1124,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,3,2018,267173.3661
1125,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,1,2019,265344.684
1126,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,12,2018,1896778.405
1127,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,11,2019,351232.1469
1128,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,7,2020,733429.2308
1129,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,9,2019,2051227.1556
1130,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,2,7,2018,286440.3847
1131,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,9,2020,430118.8545
1132,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,2,2021,564384.867
1133,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,1,2020,265014.4947
1134,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,5,2020,101843.3746
1135,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,11,2020,1994761.0024
1136,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,1,2021,158733.3838
1137,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,11,2018,382571.9962
1138,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,12,2020,171832.8731
1139,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,9,2020,108816.9032
1140,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,5,2018,221045.9255
1141,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,12,2020,12349.4621
1142,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,2,10,2020,185808.8072
1143,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,1,2020,601132.9105
1144,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,8,2020,955828.0108
1145,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,9,2018,62579.3053
1146,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,12,2017,4939.4
1147,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,1,12,2019,49737.174
1148,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,1,9,2020,154395.1962
1149,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2,2021,9236596.7574
1150,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,2,2021,1138312.6588
1151,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,4,2018,232925.153
1152,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,2,11,2018,232791.6538
1153,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,3,2020,811379.4479
1154,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,4,2019,3516984.5318
1155,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,1,2018,3010315.7411
1156,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,12,2017,137242.2
1157,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,10,2019,76437.201
1158,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,10,2018,467563.3449
1159,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,2,2,2019,7680729.3907
1160,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,10,2018,1883031.8137
1161,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,5,2020,5234403.0755
1162,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,1,2021,5231333.4238
1163,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,2,11,2019,1892724.9792
1164,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,11,2018,229974.0121
1165,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,10,2020,1274075.4814
1166,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,11,2020,136774.9152
1167,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,9,2019,3985065.5554
1168,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,5,2020,400024.0085
1169,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,2,2020,364916.5144
1170,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,2,2018,43716.1194
1171,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,9,2020,3647820.6383
1172,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,9,2019,1516601.1037
1173,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,2,10,2020,15303066.4104
1174,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,6,2019,571671.9943
1175,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,9,2019,324443.0788
1176,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,2,3,2021,1620150.5685
1177,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,2,2019,880930.6428
1178,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,7,2019,1466256.163
1179,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,10,2018,649005.6927
1180,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,8,2018,3349792.6722
1181,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,1,2018,305636.5653
1182,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,7,2020,899608.4979
1183,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,3,2018,319842.8973
1184,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,11,2019,1403668.9173
1185,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2,2020,3141918.408
1186,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,1,2021,2266157.8535
1187,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,3,2019,138892.5882
1188,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,1,9,2019,11038205.6569
1189,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,1,2021,763644.2041
1190,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,1,2019,73644.5604
1191,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,7,2019,279388.6371
1192,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,2,11,2019,9792969.0247
1193,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,8,2020,1916575.7507
1194,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2,2018,101324.9796
1195,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,4,2021,220149.9378
1196,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,7,2018,49114.88
1197,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,11,2020,7483169.5155
1198,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,3,2019,549996.6013
1199,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,1,5,2020,12329657.301
1200,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,9,2020,1275.0
1201,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,5,2020,960368.0171
1202,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,8,2019,764194.6443
1203,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,1,2019,202461.7081
1204,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,3,2018,134758.2515
1205,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,1,2021,4798524.9499
1206,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,5,2018,1561185.2752
1207,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,1,2018,174361.8623
1208,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,8,2018,500978.4552
1209,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,5,2018,277610.0432
1210,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,1,2019,2803294.959
1211,CENTRO-ORIENTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,2,12,2020,13278.8542
1212,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,3,2021,1211368.0702
1213,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,6,2020,13263054.0104
1214,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2,2021,298432.4987
1215,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,4,2021,746229.4532
1216,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2,2018,4782915.0058
1217,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,1,2018,2090496.7519
1218,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,4,2020,561196.9603
1219,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,5,2020,4250431.172
1220,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,9,2019,3531245.6235
1221,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,2,10,2020,4087.0397
1222,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,8,2020,11223428.1898
1223,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,5,2020,1786420.8142
1224,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,2,12,2019,325414.1535
1225,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,9,2020,732899.5894
1226,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,3,2019,106914.8701
1227,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,1,2018,21321.0899
1228,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,7,2018,9132150.2152
1229,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,4,2018,5302509.9711
1230,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,9,2020,3420614.8822
1231,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,11,2020,482390.3736
1232,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,12,2019,685054.273
1233,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,6,2018,19143.7978
1234,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,5,2018,113371.5674
1235,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,2,2018,276793.1671
1236,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,4,2018,412839.115
1237,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,5,2018,1738975.0005
1238,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,7,2019,484603.3012
1239,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,1,2019,101472.8283
1240,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,1,2,2021,93.983
1241,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,1,2020,917826.4271
1242,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,2,2020,5424.6276
1243,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,2,2,2020,198.7114
1244,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,1,2019,2947561.0929
1245,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,2,4,2018,9795.3945
1246,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,11,2018,480278.8458
1247,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,9,2018,214089.6281
1248,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,10,2020,10914.2685
1249,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,5,2019,18381166.5225
1250,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,1,2021,407705.6123
1251,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,5,2020,9323.0185
1252,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,2,2020,3546318.4247
1253,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,5,2019,342608.1769
1254,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,4,2018,22636.6066
1255,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,3,2018,1656472.4911
1256,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,9,2018,17742283.3473
1257,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,9,2020,11581.3642
1258,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,10,2018,244207.9618
1259,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,5,2018,18363.9126
1260,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2,2020,279355.8047
1261,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,11,2020,111302.2834
1262,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,4,2018,2331166.6636
1263,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,12,2018,226171.1531
1264,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,5,2018,38900.0738
1265,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,6,2019,294079.0983
1266,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,4,2018,150719.3053
1267,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,12,2020,320079.4879
1268,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,1,2019,44580.6477
1269,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,2,2018,9328.1858
1270,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,1,2019,83964.2056
1271,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,9,2018,112814.5224
1272,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,5,2018,6283307.2162
1273,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,1,2019,14950.404
1274,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,3,2018,216301.2905
1275,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,3,2021,923058.684
1276,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,2,5,2020,10964788.4984
1277,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,4,2019,1247474.8654
1278,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,12,2018,12763872.9086
1279,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,5,2020,1011019.1199
1280,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,3,2021,1264.06
1281,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,1,2018,493808.9935
1282,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,10,2020,1545399.1732
1283,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,3,2018,788340.3576
1284,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,3,2019,1038215.7629
1285,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,4,2019,432620.9928
1286,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,1,12,2019,26899.0264
1287,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,2,10,2018,1923381.9991
1288,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,1,9,2020,14063.5245
1289,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,1,1,2018,683045.4949
1290,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2,2019,52385.4445
1291,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,2,6,2019,30848.3324
1292,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,8,2019,16017279.2848
1293,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,6,2020,113898.9325
1294,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,1,5,2018,190260.5442
1295,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,1,2019,427854.0383
1296,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2,2018,19815.4285
1297,CENTRO-ORIENTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,2,1,2021,56461.6334
1298,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,1,2021,1698851.4621
1299,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,1,1,2021,6792572.4771
1300,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,12,2019,414039.1471
1301,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,12,2019,1160728.3408
