,Region,Categoria,Marca,Segmento,WEEK,YEAR,VSIGV
1983,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,16,2020,8467.1203
1984,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2018,8026.8817
1985,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,31,2018,33115.5425
1986,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,40,2020,1590405.9806
1987,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,4,2019,31974.4018
1988,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,9,2019,3296605.2183
1989,SUR,01 Mascarilla ,001 Elite,30 Productos Sanitarios,13,2021,5463.4945
1990,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,33,2019,45677.6902
1991,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,32,2019,1646563.1813
1992,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,38,2020,135536.5075
1993,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,9,2019,351210.9508
1994,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2020,274984.2412
1995,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,13,2019,3193.4963
1996,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,34,2018,43276.2529
1997,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,8,2018,12579.6984
1998,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,13,2021,377482.7344
1999,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,39,2018,132051.3374
2000,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,11,2020,127.54
2001,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,14,2020,1755220.4544
2002,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,36,2018,64794.5299
2003,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,23,2019,8666.8873
2004,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,21,2018,8589.7436
2005,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,22,2020,204.9077
2006,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,27,2020,6949693.8144
2007,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,14,2018,27379.2123
2008,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,31,2019,7462445.2885
2009,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,42,2019,37962.1382
2010,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,29,2019,10350.1897
2011,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,38,2018,107219.4209
2012,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,51,2019,2805.2567
2013,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,13,2020,137151.6398
2014,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,28,2019,144974.8314
2015,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,21,2018,258657.3158
2016,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,44,2019,553969.8875
2017,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,42,2020,184347.3099
2018,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,43,2019,149116.0302
2019,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,40,2020,55356.4554
2020,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,35,2019,270053.1466
2021,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,38,2018,145945.8384
2022,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,14,2020,848285.3124
2023,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,31,2020,3125848.2883
2024,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,26,2018,3431.5108
2025,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,12,2020,68331.7013
2026,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,36,2019,69342.6946
2027,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,40,2020,424524.8415
2028,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,48,2020,4358.426
2029,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,25,2020,3699.8359
2030,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,17,2019,403862.9801
2031,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,47,2020,18330.4111
2032,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,10,2018,1324404.9485
2033,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,22,2019,2829.9814
2034,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,22,2018,749284.9773
2035,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,26,2019,108187.3154
2036,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,5,2018,356451.5647
2037,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,6,2021,4791786.0032
2038,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,41,2018,113545.5825
2039,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,34,2019,428609.895
2040,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,46,2018,15904.1539
2041,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,2,2021,1428.0118
2042,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,52,2020,315811.9127
2043,NORTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,4,2021,2763.5369
2044,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,39,2018,5261430.6112
2045,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,26,2018,87221.3988
2046,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,18,2019,1658781.7838
2047,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,5,2021,575260.2609
2048,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,32,2019,134447.4643
2049,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,52,2019,4839.4655
2050,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,53,2020,393224.8187
2051,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,35,2019,4400462.9113
2052,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,18,2019,650867.0983
2053,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,31,2020,507062.9643
2054,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,23,2018,4983687.066
2055,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,51,2018,151318.4568
2056,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,39,2018,365796.8391
2057,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,53,2018,731319.6952
2058,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,37,2019,166959.3473
2059,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,3,2019,1360082.1756
2060,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,39,2020,60671.2629
2061,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,46,2019,274764.4994
2062,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,2019,652969.0448
2063,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,37,2019,355457.2272
2064,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,9,2021,1001745.5516
2065,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,27,2020,170397.1645
2066,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,39,2019,1133476.0608
2067,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,14,2021,152566.7324
2068,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,2020,67926.6809
2069,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,50,2020,69852.1563
2070,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,42,2020,2473.3107
2071,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,33,2020,57939.5437
2072,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,3,2018,2229894.979
2073,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,10,2019,1409177.6108
2074,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,37,2019,752812.9994
2075,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,50,2020,574183.2599
2076,SUR,01 Mascarilla ,001 Elite,30 Productos Sanitarios,50,2020,768.0706
2077,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,32,2020,780012.1854
2078,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,13,2019,1498155.1651
2079,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,42,2019,6602696.5737
2080,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,31,2020,48483.2429
2081,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,14,2021,179256.1823
2082,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,2,2020,1694.4116
2083,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,53,2019,140887.2084
2084,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,4,2019,144980.4904
2085,LIMA,01 Mascarilla ,001 Elite,30 Productos Sanitarios,47,2020,1579.3007
2086,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,20,2019,915664.4013
2087,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,19,2018,105123.1483
2088,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,18,2020,198667.0228
2089,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,50,2020,390808.6765
2090,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2020,6964.0662
2091,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,17,2018,154453.5655
2092,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,13,2021,4407192.9576
2093,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,38,2020,5503852.5515
2094,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,44,2020,1586035.7468
2095,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,22,2018,98027.9485
2096,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,20,2018,2179399.3531
2097,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,18,2020,1834278.5519
2098,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,33,2020,732107.5151
2099,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,12,2020,2759071.7557
2100,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,44,2020,12082.5274
2101,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,45,2020,1001.74
2102,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,33,2018,25656.5102
2103,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,16,2020,1162093.0653
2104,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,35,2020,41140.8981
2105,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2018,1067446.4483
2106,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,40,2018,6707.9541
2107,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,3,2021,105054.1193
2108,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,8,2020,4919508.8133
2109,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,23,2019,30173.7284
2110,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,9,2021,2520.5488
2111,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,10,2019,241598.943
2112,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,8,2018,11000.8206
2113,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,18,2019,218787.6391
2114,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,16,2019,2002729.0587
2115,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,17,2020,2699420.3494
2116,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,27,2018,7743.7087
2117,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,8,2018,119365.1553
2118,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,33,2018,7845.7544
2119,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,28,2018,105658.2741
2120,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,32,2018,54396.1017
2121,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,42,2020,455.837
2122,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,27,2019,463036.6583
2123,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,24,2018,547934.52
2124,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,40,2018,1002768.7077
2125,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,25,2020,78919.0623
2126,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,46,2018,232544.6199
2127,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,14,2018,1284470.6942
2128,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,16,2018,4528568.9171
2129,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,21,2018,22797.4721
2130,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,9,2018,1526400.1964
2131,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,21,2020,427181.0202
2132,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,14,2018,85600.2188
2133,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,41,2019,4396.639
2134,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,12,2019,6035483.7588
2135,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,13,2020,169.044
2136,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,36,2019,9401.0817
2137,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,23,2020,468654.8761
2138,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,6,2019,2251.1092
2139,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,12,2021,397352.3081
2140,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,39,2019,85745.0538
2141,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,12,2019,385993.8163
2142,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,37,2018,122166.6343
2143,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,27,2018,14517.9354
2144,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,29,2018,32028.2076
2145,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2018,436538.9909
2146,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,25,2020,225223.1646
2147,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,25,2020,1607690.5259
2148,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,28,2018,2352832.1538
2149,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,8,2021,55383.8125
2150,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,24,2018,856267.7172
2151,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,48,2018,869749.4316
2152,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,2018,71216.3629
2153,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,2020,232839.8288
2154,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,12,2021,170785.6823
2155,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,44,2019,1683455.7245
2156,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,14,2018,357610.6045
2157,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,3,2018,113304.379
2158,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,10,2019,882760.4699
2159,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2020,2597210.4815
2160,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,52,2020,102193.1144
2161,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,12,2020,39556.8879
2162,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,3,2021,88790.7181
2163,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,11,2019,145172.5696
2164,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,32,2018,556815.6692
2165,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,29,2019,1497448.3336
2166,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,14,2020,623662.3533
2167,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,36,2020,2945766.5297
2168,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,51,2020,5897.2036
2169,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,8,2019,277111.123
2170,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,39,2019,1499556.855
2171,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,12,2018,166332.5899
2172,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,21,2020,1151.5192
2173,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2021,44003.8
2174,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,23,2019,155874.7656
2175,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,44,2019,790654.9603
2176,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,5,2020,342856.6882
2177,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,42,2019,80399.2283
2178,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,29,2019,256015.6413
2179,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,21,2018,11679.9473
2180,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,6,2020,64109.1744
2181,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,25,2018,37894.7568
2182,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,16,2019,21214.0447
2183,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,21,2019,144429.8974
2184,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,32,2020,2131.2896
2185,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,8,2019,237530.8413
2186,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,5,2020,3393027.1154
2187,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,33,2018,110271.0117
2188,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2020,469459.3063
2189,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,52,2020,587239.0394
2190,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,10,2021,61984.0697
2191,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,35,2020,597438.0655
2192,SUR,01 Mascarilla ,001 Elite,30 Productos Sanitarios,1,2021,116.3505
2193,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,29,2020,548112.5596
2194,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,17,2018,1101.9923
2195,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,48,2020,8407.1698
2196,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,12,2018,122369.2432
2197,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,23,2019,7143740.8625
2198,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,27,2018,131791.5473
2199,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,2021,5533.74
2200,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,27,2018,127079.3144
2201,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,12,2018,66300.9148
2202,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,48,2018,1763967.8728
2203,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2021,125824.165
2204,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,22,2020,5765.706
2205,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,47,2018,399372.4946
2206,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,52,2018,-1403.4987
2207,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,7,2020,199887.8095
2208,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,28,2019,1207480.3353
2209,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,9,2021,61546.8224
2210,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,33,2018,1875646.2597
2211,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,16,2020,177713.4849
2212,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,31,2018,537487.3633
2213,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,30,2018,663108.2527
2214,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,14,2020,223082.8305
2215,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,23,2020,6295354.4747
2216,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,18,2019,64789.573
2217,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,21,2019,32295.092
2218,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,42,2020,30853.4631
2219,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,43,2020,4349066.8022
2220,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,38,2020,70571.0992
2221,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,32,2018,147368.0225
2222,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,45,2020,77881.6093
2223,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,10,2020,2955.69
2224,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,24,2018,64641.1672
2225,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,15,2018,2957049.3836
2226,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,28,2018,12834.2282
2227,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,43,2019,6623806.5663
2228,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,39,2020,42773.1203
2229,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,11,2020,2780034.1856
2230,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,20,2018,864719.6611
2231,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,33,2018,16891.9709
2232,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,43,2018,1103.6502
2233,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,26,2018,33556.2748
2234,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2020,1834293.3591
2235,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,18,2018,49838.2732
2236,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2019,23928.4133
2237,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,39,2020,3780394.994
2238,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,50,2020,3076661.6212
2239,SUR,01 Mascarilla ,001 Elite,30 Productos Sanitarios,43,2020,6162.0265
2240,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,40,2019,163670.4001
2241,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,5,2018,258240.6033
2242,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,2021,49159.3517
2243,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,22,2020,67722.4271
2244,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,9,2018,53645.6456
2245,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,30,2020,302506.7613
2246,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,30,2020,175995.9378
2247,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,14,2019,358994.1023
2248,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,36,2020,1555713.0733
2249,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,47,2019,259373.0898
2250,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,26,2018,108303.5315
2251,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,7,2019,50935.7691
2252,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,6,2019,1591735.1379
2253,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2019,-37.4105
2254,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,24,2019,55609.6957
2255,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,14,2018,4925.0098
2256,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,39,2019,2364.0425
2257,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,2018,88429.4885
2258,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,30,2019,19476.953
2259,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,19,2020,6876350.0876
2260,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,37,2020,6061.3009
2261,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,50,2018,95145.8853
2262,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,32,2020,111928.6683
2263,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,10,2018,1015688.7724
2264,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,48,2019,1038746.5152
2265,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,5,2020,113320.7696
2266,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,53,2018,20083.5657
2267,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,34,2019,164898.2833
2268,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,7,2018,1060119.0854
2269,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,14,2019,192214.6794
2270,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,49,2020,1698.2831
2271,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,22,2019,38452.9203
2272,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,4,2019,66192.3081
