,Region,Categoria,Marca,Segmento,MONTH,YEAR,VSIGV
293,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,9,2019,670033.5404
294,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,4,2019,5474243.1586
295,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,5,2020,279687.5301
296,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,8,2019,6664399.0701
297,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,5,2020,767215.3666
298,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,4,2020,13468.193
299,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,5,2020,2836.0556
300,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2018,247089.2184
301,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,12,2018,8196.7406
302,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,10,2018,29637779.5219
303,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,3,2020,1267445.1764
304,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,3,2021,2924917.5757
305,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,11,2019,9002352.5619
306,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,5,2018,4376456.5049
307,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,5,2018,14067409.2956
308,NORTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,12,2020,8389.605
309,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,7,2019,647878.3776
310,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,7,2020,2565410.2186
311,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,4,2020,7067709.9788
312,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,2,2018,9848726.7818
313,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,12,2020,1521949.404
314,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,2020,25052584.9815
315,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,11,2020,2010197.1357
316,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,2020,11141.6098
317,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,7,2018,1264448.3487
318,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,5,2019,15277.2123
319,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,3,2019,2000666.6564
320,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,3,2018,2985599.7115
321,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,8,2019,5898180.8454
322,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2019,6747608.6144
323,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,9,2020,2939079.6099
324,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2021,30469.0635
325,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,3,2018,46972.5906
326,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2021,17495141.8292
327,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,12,2019,683971.7772
328,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,9,2019,173842.2775
329,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,4,2019,12827376.6056
330,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2018,28148.4587
331,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,8,2020,838038.0264
332,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,2021,17674269.166
333,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,6,2020,23518437.005
334,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,4,2018,18684585.5888
335,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,8,2018,1440441.7542
336,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,12,2020,122224.9104
337,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,4,2018,40687.7491
338,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,6,2020,3242.0565
339,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,8,2018,14577537.6657
340,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,2018,4230309.3854
341,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,2019,1051135.8744
342,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,10,2018,524884.5448
343,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,4,2021,1.5254
344,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,5,2020,232255.5228
345,SUR,01 Mascarilla ,001 Elite,30 Productos Sanitarios,12,2020,4779.4127
346,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,10,2018,274066.6604
347,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,2018,3038476.0381
348,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,2020,319103.8501
349,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,6,2019,326104.3501
350,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,3,2021,175040.7237
351,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,3,2018,11433.9524
352,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,11,2018,528258.494
353,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,11,2019,6448127.6563
354,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,8,2020,408685.775
355,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,4,2018,68182.4373
356,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,4,2019,1473816.3175
357,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,6,2019,15800498.6298
358,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,10,2018,11715469.8756
359,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,4,2020,1248750.5058
360,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,4,2021,38670.7298
361,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,12,2018,3707009.9833
362,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,10,2019,6596257.7722
363,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2019,1430105.0884
364,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2020,43678.0021
365,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,6,2019,147313.0501
366,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,7,2019,16318676.3489
367,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,5,2020,25623.0719
368,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2020,25459840.1473
369,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2018,18372644.7281
370,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,7,2019,23000006.7397
371,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,5,2018,748712.5251
372,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,1,2018,19916.3716
373,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,11,2018,13554353.1109
374,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,2,2020,14443002.6312
375,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,9,2019,38352.349
376,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,11,2020,479254.6724
377,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,7,2018,279586.8788
378,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,4,2020,3932.1743
379,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,3,2020,10773833.9804
380,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,12,2020,693619.536
381,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,3,2019,328390.8409
382,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2021,16201134.5276
383,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,3,2021,2492087.5562
384,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,5,2020,380871.4476
385,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,11,2020,179121.8908
386,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,5,2018,475355.9358
387,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,11,2018,2649047.7904
388,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,3,2018,539695.078
389,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,5,2019,26880727.6958
390,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,11,2019,14155303.857
391,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,5,2018,8630.5435
392,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,9,2019,1078209.2803
393,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2020,844665.1638
394,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,12,2018,322585.0381
395,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,5,2018,350534.5987
396,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,8,2018,56806.2382
397,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,10,2020,865339.4345
398,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,11,2020,1980.8387
399,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,4,2020,565890.018
400,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,6,2018,445796.4942
401,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,2019,526873.8233
402,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,2019,4025264.6746
403,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,6,2018,3304574.5719
404,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,9,2020,9902.7419
405,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2018,84023.0021
406,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,4,2019,115081.2243
407,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,9,2019,15907443.9498
408,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,9,2020,542038.6501
409,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,9,2018,28906.5723
410,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,3,2020,204235.888
411,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,11,2020,24883513.5436
412,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,7,2020,14294281.7825
413,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,6,2018,19835566.9887
414,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,7,2020,366225.0116
415,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,7,2018,10522124.8365
416,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,2,2020,963099.6877
417,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,4,2019,80739.1482
418,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,10,2018,15435473.7339
419,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,12,2019,26236.5944
420,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,8,2020,26888.7984
421,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,4,2018,34497.6869
422,LIMA,01 Mascarilla ,001 Elite,30 Productos Sanitarios,11,2020,4382.8223
423,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,11,2019,654269.5613
424,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,8,2018,64498.379
425,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2019,488594.5522
426,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,3,2021,1278.0838
427,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,10,2019,569901.1142
428,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,12,2018,12700838.5731
429,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,5,2019,966255.2391
430,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,2020,1268799.0794
431,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,10,2018,1293152.6342
432,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,10,2019,12827.7977
433,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,8,2020,17824340.2151
434,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,3,2021,744110.8453
435,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,5,2018,48316.7187
436,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,10,2020,18057865.6384
437,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,4,2021,953.9408
438,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,11,2019,725868.1866
439,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,3,2018,394487.1304
440,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,7,2020,911713.9614
441,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,5,2019,5107994.4232
442,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,3,2021,954780.8671
443,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,2020,6819236.0679
444,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,9,2018,3656187.7417
445,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,6,2020,4000.6613
446,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,3,2018,291756.3815
447,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2019,112097.8324
448,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,8,2019,14441495.6292
449,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,5,2018,52795.599
450,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,10,2020,198690.9688
451,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,11,2019,28488726.294
452,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,6,2020,508934.3557
453,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,8,2019,768934.1495
454,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2019,504363.9331
455,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,3,2019,18065.0836
456,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,6,2018,172898.5482
457,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,6,2018,269441.3123
458,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,2018,252529.838
459,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,7,2018,16648.8959
460,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,10,2019,39801.7785
461,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,7,2018,420768.6177
462,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,6,2020,19977.6895
463,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2018,47113.5062
464,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2019,209185.9372
465,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,2021,3764378.2603
466,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,12,2020,28980488.0696
467,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,9,2019,697027.8699
468,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,11,2020,275817.7849
469,LIMA,01 Mascarilla ,001 Elite,30 Productos Sanitarios,9,2020,2360.53
470,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2021,316690.4223
471,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,6,2020,15503.0098
472,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,3,2020,2996.72
473,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,12,2020,2787591.437
474,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2021,2909717.1407
475,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,12,2017,75701.48
476,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,7,2020,3423964.1296
477,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,8,2018,600712.5774
478,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2018,27766.7821
479,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2018,5732304.3168
480,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,11,2018,34068.1483
481,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,4,2020,21420328.8869
482,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2019,246574.431
483,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,5,2020,9607333.5441
484,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,4,2021,54091.8623
485,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,11,2018,5195297.4436
486,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,8,2018,12837265.7086
487,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,10,2019,41343.2615
488,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,6,2020,55417.0019
489,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,3,2021,286863.7414
490,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,3,2018,607463.1968
491,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,2,2021,127.5017
492,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,7,2019,561595.7664
493,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,12,2020,36978.9439
494,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,3,2020,1127288.8377
495,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,3,2019,579233.5769
496,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,2021,5950729.6973
497,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,9,2019,7087867.4732
498,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,3,2018,148615.866
499,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,9,2020,201105.2914
500,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,8,2020,1137289.6895
501,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,11,2018,42888.5035
502,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,7,2019,57231.7998
503,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,4,2018,21103.894
504,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,10,2018,475224.6223
505,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,5,2019,584554.6949
506,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,5,2019,19031702.9005
507,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2020,162316.5061
508,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,10,2018,474714.0768
509,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,8,2020,12979.2692
510,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,6,2019,733301.2999
511,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,9,2020,25128564.3159
512,LIMA,01 Mascarilla ,001 Elite,30 Productos Sanitarios,12,2020,31077.9469
513,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,9,2020,7197014.5564
514,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,4,2020,3907199.4043
515,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,8,2019,4046929.5408
516,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,7,2019,33089.5427
517,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,2,2021,8282.4236
518,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,4,2021,32553.8636
519,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,10,2019,697548.053
520,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,10,2019,8708628.734
521,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,8,2018,25691.8381
522,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,9,2018,26792943.7134
523,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,12,2020,14638395.623
524,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,8,2018,659333.7592
525,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2018,3883692.5055
526,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,12,2019,29496190.5245
527,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,2,2020,9232.632
528,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,4,2019,762201.1766
529,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,6,2019,10183.3202
530,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,3,2021,409388.5474
531,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,8,2020,19817579.453
532,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,12,2017,23014.6
533,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2020,63227.1064
534,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,5,2018,3658886.0033
535,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,4,2019,37629.9778
536,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,9,2020,7401052.5943
537,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,4,2020,2700125.0388
538,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,12,2019,1394586.0049
539,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,4,2021,932472.6119
540,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,10,2018,6985.2678
541,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,8,2018,52926.1453
542,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,5,2020,427891.6192
543,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,4,2019,67084.6334
544,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,12,2018,529180.8413
545,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,8,2019,539793.5276
546,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2018,40069.7061
547,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,1,2018,56645.1888
548,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,4,2020,459994.1801
549,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,8,2020,1745911.2564
550,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,8,2019,2234211.2319
551,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2021,586638.9318
552,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,9,2020,6935029.794
553,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,2018,328029.0697
554,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,1,2021,327505.6426
555,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,4,2020,17380530.2341
556,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,5,2018,24070.1909
557,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,10,2019,726409.7755
558,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,6,2018,8710504.6846
559,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,11,2018,400484.0535
560,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,5,2018,595935.885
561,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,10,2020,7507.4601
562,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,9,2019,31818002.1331
563,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,10,2019,7431345.125
564,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,3,2019,12241.8478
565,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,9,2020,485042.0929
566,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,5,2020,23294276.7657
567,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,10,2020,30274883.5205
568,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,11,2018,7897215.7161
569,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,5,2019,20672615.5581
570,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,2019,29731.245
571,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2021,7821044.3229
572,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,11,2018,668601.7409
573,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,9,2019,1548635.0414
574,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,9,2018,1362376.6686
575,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,2020,2540515.311
576,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,6,2019,315860.2812
577,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,7,2018,11838.3417
578,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2020,366926.58
579,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,2019,634249.9654
580,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,9,2018,525784.612
581,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,2,2020,80138.5886
582,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,5,2019,631452.1069
583,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,11,2020,90117.9602
584,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,2019,290240.1796
585,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,10,2020,890428.0486
586,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,11,2020,636717.9944
587,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,10,2019,37389.298
588,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,3,2021,969.5776
589,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,12,2020,1845050.4001
590,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,1,2018,2628179.1283
